#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
306777:6396,1:1,11/17/17 21:48:20,STABLE BEAMS,2510,5028.213,4967.390,1.0,PLTZERO
306777:6396,2:2,11/17/17 21:48:43,STABLE BEAMS,2510,5029.242,4969.726,1.0,PLTZERO
306777:6396,3:3,11/17/17 21:49:06,STABLE BEAMS,2510,5025.608,4966.173,1.0,PLTZERO
306777:6396,4:4,11/17/17 21:49:30,STABLE BEAMS,2510,5024.520,4859.746,1.0,PLTZERO
306777:6396,5:5,11/17/17 21:49:53,STABLE BEAMS,2510,5022.759,4858.972,1.0,PLTZERO
306777:6396,6:6,11/17/17 21:50:16,STABLE BEAMS,2510,5022.127,4858.729,1.0,PLTZERO
306777:6396,7:7,11/17/17 21:50:40,STABLE BEAMS,2510,5020.861,4856.522,1.0,PLTZERO
306777:6396,8:8,11/17/17 21:51:03,STABLE BEAMS,2510,5018.465,4854.056,1.0,PLTZERO
306777:6396,9:9,11/17/17 21:51:26,STABLE BEAMS,2510,5019.478,4855.763,1.0,PLTZERO
306777:6396,10:10,11/17/17 21:51:49,STABLE BEAMS,2510,5015.873,4852.364,1.0,PLTZERO
306777:6396,11:11,11/17/17 21:52:13,STABLE BEAMS,2510,5016.118,4852.575,1.0,PLTZERO
306777:6396,12:12,11/17/17 21:52:36,STABLE BEAMS,2510,5017.174,4853.949,1.0,PLTZERO
306777:6396,13:13,11/17/17 21:52:59,STABLE BEAMS,2510,5013.926,4849.500,1.0,PLTZERO
306777:6396,14:14,11/17/17 21:53:23,STABLE BEAMS,2510,5010.716,4848.558,1.0,PLTZERO
306777:6396,15:15,11/17/17 21:53:46,STABLE BEAMS,2510,5011.789,4849.814,1.0,PLTZERO
306777:6396,16:16,11/17/17 21:54:09,STABLE BEAMS,2510,5011.485,4848.225,1.0,PLTZERO
306777:6396,17:17,11/17/17 21:54:33,STABLE BEAMS,2510,5010.922,4847.456,1.0,PLTZERO
306777:6396,18:18,11/17/17 21:54:56,STABLE BEAMS,2510,5009.515,4845.219,1.0,PLTZERO
306777:6396,19:19,11/17/17 21:55:19,STABLE BEAMS,2510,5006.518,4842.839,1.0,PLTZERO
306777:6396,20:20,11/17/17 21:55:43,STABLE BEAMS,2510,5008.184,4845.656,1.0,PLTZERO
306777:6396,21:21,11/17/17 21:56:06,STABLE BEAMS,2510,5007.003,4842.219,1.0,PLTZERO
306777:6396,22:22,11/17/17 21:56:29,STABLE BEAMS,2510,5004.135,4840.727,1.0,PLTZERO
306777:6396,23:23,11/17/17 21:56:53,STABLE BEAMS,2510,5005.455,4844.944,1.0,PLTZERO
306777:6396,24:24,11/17/17 21:57:16,STABLE BEAMS,2510,5001.564,4848.332,1.0,PLTZERO
306777:6396,25:25,11/17/17 21:57:39,STABLE BEAMS,2510,5004.387,4851.447,1.0,PLTZERO
306777:6396,26:26,11/17/17 21:58:02,STABLE BEAMS,2510,5001.334,4848.049,1.0,PLTZERO
306777:6396,27:27,11/17/17 21:58:26,STABLE BEAMS,2510,4998.972,4846.140,1.0,PLTZERO
306777:6396,28:28,11/17/17 21:58:49,STABLE BEAMS,2510,4997.930,4845.933,1.0,PLTZERO
306777:6396,29:29,11/17/17 21:59:12,STABLE BEAMS,2510,4998.134,4845.035,1.0,PLTZERO
306777:6396,30:30,11/17/17 21:59:36,STABLE BEAMS,2510,4996.672,4843.523,1.0,PLTZERO
