#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
297181:5848,1:1,06/20/17 08:44:01,STABLE BEAMS,6500,4534.139,3873.434,18.7,PLTZERO
297181:5848,2:2,06/20/17 08:44:25,STABLE BEAMS,6500,4532.858,4311.859,18.7,PLTZERO
297181:5848,3:3,06/20/17 08:44:48,STABLE BEAMS,6500,4531.063,4331.859,18.7,PLTZERO
297181:5848,4:4,06/20/17 08:45:11,STABLE BEAMS,6500,4528.791,4418.161,18.6,PLTZERO
297181:5848,5:5,06/20/17 08:45:35,STABLE BEAMS,6500,4527.592,4382.553,18.6,PLTZERO
297181:5848,6:6,06/20/17 08:45:58,STABLE BEAMS,6500,4525.638,4391.637,18.6,PLTZERO
297181:5848,7:7,06/20/17 08:46:21,STABLE BEAMS,6500,4525.216,4444.920,18.6,PLTZERO
297181:5848,8:8,06/20/17 08:46:45,STABLE BEAMS,6500,4522.395,4453.725,18.6,PLTZERO
297181:5848,9:9,06/20/17 08:47:08,STABLE BEAMS,6500,4521.050,4457.534,18.6,PLTZERO
297181:5848,10:10,06/20/17 08:47:31,STABLE BEAMS,6500,4520.186,4450.186,18.6,PLTZERO
297181:5848,11:11,06/20/17 08:47:55,STABLE BEAMS,6500,4518.286,4452.896,18.6,PLTZERO
297181:5848,12:12,06/20/17 08:48:18,STABLE BEAMS,6500,4515.144,4445.432,18.6,PLTZERO
297181:5848,13:13,06/20/17 08:48:41,STABLE BEAMS,6500,4514.168,4456.043,18.6,PLTZERO
297181:5848,14:14,06/20/17 08:49:04,STABLE BEAMS,6500,4512.199,4448.824,18.6,PLTZERO
297181:5848,15:15,06/20/17 08:49:28,STABLE BEAMS,6500,4509.587,4447.395,18.6,PLTZERO
297181:5848,16:16,06/20/17 08:49:51,STABLE BEAMS,6500,4508.324,4451.367,18.6,PLTZERO
297181:5848,17:17,06/20/17 08:50:14,STABLE BEAMS,6500,4506.623,4442.424,18.6,PLTZERO
297181:5848,18:18,06/20/17 08:50:38,STABLE BEAMS,6500,4506.915,4439.641,18.6,PLTZERO
297181:5848,19:19,06/20/17 08:51:01,STABLE BEAMS,6500,4503.963,4431.347,18.5,PLTZERO
297181:5848,20:20,06/20/17 08:51:24,STABLE BEAMS,6500,4502.592,4425.004,18.5,PLTZERO
297181:5848,21:21,06/20/17 08:51:48,STABLE BEAMS,6500,4500.346,4434.296,18.5,PLTZERO
297181:5848,22:22,06/20/17 08:52:11,STABLE BEAMS,6500,4499.640,4432.464,18.5,PLTZERO
297181:5848,23:23,06/20/17 08:52:34,STABLE BEAMS,6500,4497.561,4434.617,18.5,PLTZERO
297181:5848,24:24,06/20/17 08:52:58,STABLE BEAMS,6500,4495.961,4434.979,18.5,PLTZERO
297181:5848,25:25,06/20/17 08:53:21,STABLE BEAMS,6500,4494.675,4431.725,18.5,PLTZERO
297181:5848,26:26,06/20/17 08:53:44,STABLE BEAMS,6500,4493.398,4420.203,18.5,PLTZERO
297181:5848,27:27,06/20/17 08:54:08,STABLE BEAMS,6500,4492.049,4362.137,18.5,PLTZERO
297181:5848,28:28,06/20/17 08:54:31,STABLE BEAMS,6500,4487.688,4420.800,18.5,PLTZERO
297181:5848,29:29,06/20/17 08:54:54,STABLE BEAMS,6500,4486.728,4428.121,18.5,PLTZERO
297181:5848,30:30,06/20/17 08:55:17,STABLE BEAMS,6500,4488.398,4429.765,18.5,PLTZERO
297181:5848,31:31,06/20/17 08:55:41,STABLE BEAMS,6500,4486.984,4428.268,18.5,PLTZERO
297181:5848,32:32,06/20/17 08:56:04,STABLE BEAMS,6500,4483.959,4422.068,18.5,PLTZERO
297181:5848,33:33,06/20/17 08:56:27,STABLE BEAMS,6500,4481.440,4427.935,18.5,PLTZERO
297181:5848,34:34,06/20/17 08:56:51,STABLE BEAMS,6500,4480.591,4418.822,18.4,PLTZERO
297181:5848,35:35,06/20/17 08:57:14,STABLE BEAMS,6500,4478.742,4423.410,18.4,PLTZERO
297181:5848,36:36,06/20/17 08:57:37,STABLE BEAMS,6500,4476.788,4426.627,18.4,PLTZERO
297181:5848,37:37,06/20/17 08:58:01,STABLE BEAMS,6500,3463.210,3356.924,18.4,PLTZERO
297181:5848,38:38,06/20/17 08:58:24,STABLE BEAMS,6500,700.217,697.022,1.0,PLTZERO
297181:5848,39:39,06/20/17 08:58:47,STABLE BEAMS,6500,2797.392,2772.657,5.2,PLTZERO
297181:5848,40:40,06/20/17 08:59:11,STABLE BEAMS,6500,4152.394,4097.310,18.3,PLTZERO
297181:5848,41:41,06/20/17 08:59:34,STABLE BEAMS,6500,2153.439,2136.138,13.8,PLTZERO
297181:5848,42:42,06/20/17 08:59:57,STABLE BEAMS,6500,800.015,793.988,5.4,PLTZERO
