#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
305814:6343,1:1,10/28/17 05:44:33,SQUEEZE,6500,0.392,0.000,0.0,PLTZERO
305814:6343,45:45,10/28/17 06:01:39,ADJUST,6500,16291.012,15755.655,0.8,HFET
305814:6343,46:46,10/28/17 06:02:00,ADJUST,6500,16993.564,16762.586,67.8,HFET
305814:6343,47:47,10/28/17 06:02:23,ADJUST,6500,17029.921,16550.690,59.6,HFET
305814:6343,48:48,10/28/17 06:02:46,ADJUST,6500,16372.537,16160.796,66.6,HFET
305814:6343,49:49,10/28/17 06:03:09,ADJUST,6500,14493.269,14314.126,65.4,HFET
305814:6343,50:50,10/28/17 06:03:33,ADJUST,6500,17268.474,16995.513,42.5,HFET
305814:6343,51:51,10/28/17 06:03:56,ADJUST,6500,19115.072,18514.648,77.3,HFET
305814:6343,52:52,10/28/17 06:04:20,ADJUST,6500,16750.038,16529.318,63.6,HFET
305814:6343,53:53,10/28/17 06:04:43,ADJUST,6500,19799.355,19129.811,64.4,HFET
305814:6343,54:54,10/28/17 06:05:06,ADJUST,6500,20586.893,20166.619,78.5,HFET
305814:6343,55:55,10/28/17 06:05:29,ADJUST,6500,19251.429,18920.164,78.6,HFET
305814:6343,56:56,10/28/17 06:05:53,ADJUST,6500,15605.093,15404.404,69.9,HFET
305814:6343,57:57,10/28/17 06:06:16,ADJUST,6500,13870.265,13712.944,52.9,HFET
305814:6343,58:58,10/28/17 06:06:39,ADJUST,6500,13823.574,13667.143,52.7,HFET
305814:6343,59:59,10/28/17 06:07:03,ADJUST,6500,13796.588,13640.530,52.6,HFET
305814:6343,60:60,10/28/17 06:07:26,ADJUST,6500,13890.619,13732.715,52.5,HFET
305814:6343,61:61,10/28/17 06:07:49,ADJUST,6500,14600.154,14429.247,54.5,HFET
305814:6343,62:62,10/28/17 06:08:12,ADJUST,6500,14838.912,14663.853,56.7,HFET
305814:6343,63:63,10/28/17 06:08:36,ADJUST,6500,14759.410,14586.024,56.4,HFET
305814:6343,64:64,10/28/17 06:08:59,ADJUST,6500,14759.627,14585.892,56.0,HFET
305814:6343,65:65,10/28/17 06:09:22,ADJUST,6500,15124.520,14943.631,57.8,HFET
305814:6343,66:66,10/28/17 06:09:46,ADJUST,6500,15038.227,14859.339,57.4,HFET
305814:6343,67:67,10/28/17 06:10:09,ADJUST,6500,14929.591,14752.779,57.2,HFET
305814:6343,68:68,10/28/17 06:10:32,ADJUST,6500,14915.678,14738.967,56.6,HFET
305814:6343,69:69,10/28/17 06:10:56,ADJUST,6500,14878.759,14702.815,56.9,HFET
305814:6343,70:70,10/28/17 06:11:19,ADJUST,6500,14806.934,14632.640,56.5,HFET
305814:6343,71:71,10/28/17 06:11:42,ADJUST,6500,14750.384,14577.134,56.3,HFET
305814:6343,72:72,10/28/17 06:12:06,ADJUST,6500,14751.374,14578.077,56.2,HFET
305814:6343,73:73,10/28/17 06:12:29,ADJUST,6500,14704.794,14532.230,55.9,HFET
305814:6343,74:74,10/28/17 06:12:52,ADJUST,6500,15184.179,15002.267,58.0,HFET
305814:6343,75:75,10/28/17 06:13:16,ADJUST,6500,15106.867,14926.536,57.6,HFET
305814:6343,76:76,10/28/17 06:13:39,ADJUST,6500,15054.070,14874.799,57.5,HFET
305814:6343,77:77,10/28/17 06:14:02,ADJUST,6500,15008.160,14829.786,57.3,HFET
305814:6343,78:78,10/28/17 06:14:25,ADJUST,6500,14960.107,14571.177,57.2,HFET
305814:6343,79:79,10/28/17 06:14:49,ADJUST,6500,14895.759,14508.453,56.9,HFET
305814:6343,80:80,10/28/17 06:15:12,ADJUST,6500,14843.398,14668.598,56.6,HFET
305814:6343,81:81,10/28/17 06:15:35,ADJUST,6500,14785.698,14611.982,56.5,HFET
305814:6343,82:82,10/28/17 06:15:59,ADJUST,6500,14711.065,14330.571,56.2,HFET
305814:6343,83:83,10/28/17 06:16:22,STABLE BEAMS,6500,14700.217,11625.872,56.0,HFET
305814:6343,84:84,10/28/17 06:16:45,STABLE BEAMS,6500,14909.188,1437.952,55.9,HFET
305814:6343,85:85,10/28/17 06:17:09,STABLE BEAMS,6500,15150.540,7705.873,57.3,HFET
305814:6343,86:86,10/28/17 06:17:32,STABLE BEAMS,6500,15035.171,14411.736,57.6,HFET
305814:6343,87:87,10/28/17 06:17:55,STABLE BEAMS,6500,15023.218,14457.099,57.3,HFET
305814:6343,88:88,10/28/17 06:18:19,STABLE BEAMS,6500,15032.840,14255.003,57.4,HFET
305814:6343,89:89,10/28/17 06:18:42,STABLE BEAMS,6500,14865.949,14277.566,56.7,HFET
305814:6343,90:90,10/28/17 06:19:05,STABLE BEAMS,6500,14882.197,13887.898,56.8,HFET
305814:6343,91:91,10/28/17 06:19:29,STABLE BEAMS,6500,14861.649,8680.321,56.7,HFET
305814:6343,92:92,10/28/17 06:19:52,STABLE BEAMS,6500,14818.928,14337.165,56.5,HFET
305814:6343,93:93,10/28/17 06:20:15,STABLE BEAMS,6500,14807.359,14330.206,56.5,HFET
305814:6343,94:94,10/28/17 06:20:38,STABLE BEAMS,6500,14803.137,14330.424,56.4,HFET
305814:6343,95:95,10/28/17 06:21:02,STABLE BEAMS,6500,14759.631,14296.878,56.3,HFET
305814:6343,96:96,10/28/17 06:21:25,STABLE BEAMS,6500,14696.098,14254.478,56.3,HFET
305814:6343,97:97,10/28/17 06:21:48,STABLE BEAMS,6500,15083.635,14045.906,55.8,HFET
305814:6343,98:98,10/28/17 06:22:12,STABLE BEAMS,6500,15170.570,14502.155,57.9,HFET
305814:6343,99:99,10/28/17 06:22:35,STABLE BEAMS,6500,15076.180,14276.870,57.4,HFET
305814:6343,100:100,10/28/17 06:22:58,STABLE BEAMS,6500,15147.237,14505.062,57.7,HFET
305814:6343,101:101,10/28/17 06:23:22,STABLE BEAMS,6500,15146.913,13855.403,57.8,HFET
305814:6343,102:102,10/28/17 06:23:45,STABLE BEAMS,6500,15096.327,14508.857,57.6,HFET
305814:6343,103:103,10/28/17 06:24:08,STABLE BEAMS,6500,15049.037,14461.767,57.4,HFET
305814:6343,104:104,10/28/17 06:24:32,STABLE BEAMS,6500,15029.494,14473.873,57.3,HFET
305814:6343,105:105,10/28/17 06:24:55,STABLE BEAMS,6500,14993.287,14254.200,57.2,HFET
305814:6343,106:106,10/28/17 06:25:18,STABLE BEAMS,6500,15002.604,14259.162,57.1,HFET
305814:6343,107:107,10/28/17 06:25:42,STABLE BEAMS,6500,14973.217,14450.714,57.1,HFET
305814:6343,108:108,10/28/17 06:26:05,STABLE BEAMS,6500,14944.067,14416.303,57.0,HFET
305814:6343,109:109,10/28/17 06:26:28,STABLE BEAMS,6500,14857.250,14370.518,56.7,HFET
305814:6343,110:110,10/28/17 06:26:51,STABLE BEAMS,6500,14844.593,14161.520,56.5,HFET
305814:6343,111:111,10/28/17 06:27:15,STABLE BEAMS,6500,14806.871,14339.362,56.5,HFET
305814:6343,112:112,10/28/17 06:27:38,STABLE BEAMS,6500,14789.954,14306.606,56.4,HFET
305814:6343,113:113,10/28/17 06:28:01,STABLE BEAMS,6500,14763.646,14109.265,56.3,HFET
305814:6343,114:114,10/28/17 06:28:25,STABLE BEAMS,6500,14753.811,14300.703,56.3,HFET
305814:6343,115:115,10/28/17 06:28:48,STABLE BEAMS,6500,14732.929,14243.392,56.2,HFET
305814:6343,116:116,10/28/17 06:29:11,STABLE BEAMS,6500,14699.920,14260.111,56.1,HFET
305814:6343,117:117,10/28/17 06:29:35,STABLE BEAMS,6500,14701.488,14060.630,56.2,HFET
305814:6343,118:118,10/28/17 06:29:58,STABLE BEAMS,6500,14895.931,11929.499,55.9,HFET
305814:6343,119:119,10/28/17 06:30:21,STABLE BEAMS,6500,15179.639,14485.483,57.8,HFET
305814:6343,120:120,10/28/17 06:30:45,STABLE BEAMS,6500,15147.465,14422.724,57.9,HFET
305814:6343,121:121,10/28/17 06:31:08,STABLE BEAMS,6500,15062.161,14420.967,57.7,HFET
305814:6343,122:122,10/28/17 06:31:31,STABLE BEAMS,6500,15138.736,14446.823,57.8,HFET
305814:6343,123:123,10/28/17 06:31:54,STABLE BEAMS,6500,15078.814,14424.493,57.8,HFET
305814:6343,124:124,10/28/17 06:32:18,STABLE BEAMS,6500,15095.724,14427.299,57.4,HFET
305814:6343,125:125,10/28/17 06:32:41,STABLE BEAMS,6500,15080.023,14447.879,57.6,HFET
305814:6343,126:126,10/28/17 06:33:04,STABLE BEAMS,6500,15008.014,14237.519,57.3,HFET
305814:6343,127:127,10/28/17 06:33:28,STABLE BEAMS,6500,14988.953,14474.828,57.1,HFET
305814:6343,128:128,10/28/17 06:33:51,STABLE BEAMS,6500,14991.894,14479.342,57.3,HFET
305814:6343,129:129,10/28/17 06:34:14,STABLE BEAMS,6500,14937.430,14201.667,57.0,HFET
305814:6343,130:130,10/28/17 06:34:38,STABLE BEAMS,6500,14877.205,14398.659,56.5,HFET
