#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306777:6396,1:1,11/17/17 21:48:20,STABLE BEAMS,2510,215.711,213.101,1.0,PLTZERO
306777:6396,2:2,11/17/17 21:48:43,STABLE BEAMS,2510,215.755,213.201,1.0,PLTZERO
306777:6396,3:3,11/17/17 21:49:06,STABLE BEAMS,2510,215.599,213.049,1.0,PLTZERO
306777:6396,4:4,11/17/17 21:49:30,STABLE BEAMS,2510,215.552,208.483,1.0,PLTZERO
306777:6396,5:5,11/17/17 21:49:53,STABLE BEAMS,2510,215.477,208.450,1.0,PLTZERO
306777:6396,6:6,11/17/17 21:50:16,STABLE BEAMS,2510,215.449,208.440,1.0,PLTZERO
306777:6396,7:7,11/17/17 21:50:40,STABLE BEAMS,2510,215.395,208.345,1.0,PLTZERO
306777:6396,8:8,11/17/17 21:51:03,STABLE BEAMS,2510,215.292,208.239,1.0,PLTZERO
306777:6396,9:9,11/17/17 21:51:26,STABLE BEAMS,2510,215.336,208.312,1.0,PLTZERO
306777:6396,10:10,11/17/17 21:51:49,STABLE BEAMS,2510,215.181,208.167,1.0,PLTZERO
306777:6396,11:11,11/17/17 21:52:13,STABLE BEAMS,2510,215.192,208.176,1.0,PLTZERO
306777:6396,12:12,11/17/17 21:52:36,STABLE BEAMS,2510,215.237,208.235,1.0,PLTZERO
306777:6396,13:13,11/17/17 21:52:59,STABLE BEAMS,2510,215.098,208.044,1.0,PLTZERO
306777:6396,14:14,11/17/17 21:53:23,STABLE BEAMS,2510,214.960,208.003,1.0,PLTZERO
306777:6396,15:15,11/17/17 21:53:46,STABLE BEAMS,2510,215.006,208.057,1.0,PLTZERO
306777:6396,16:16,11/17/17 21:54:09,STABLE BEAMS,2510,214.993,207.989,1.0,PLTZERO
306777:6396,17:17,11/17/17 21:54:33,STABLE BEAMS,2510,214.969,207.956,1.0,PLTZERO
306777:6396,18:18,11/17/17 21:54:56,STABLE BEAMS,2510,214.908,207.860,1.0,PLTZERO
306777:6396,19:19,11/17/17 21:55:19,STABLE BEAMS,2510,214.780,207.758,1.0,PLTZERO
306777:6396,20:20,11/17/17 21:55:43,STABLE BEAMS,2510,214.851,207.879,1.0,PLTZERO
306777:6396,21:21,11/17/17 21:56:06,STABLE BEAMS,2510,214.801,207.731,1.0,PLTZERO
306777:6396,22:22,11/17/17 21:56:29,STABLE BEAMS,2510,214.678,207.667,1.0,PLTZERO
